
异常时间：2019-01-14 10:04:53,936 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:53

异常时间：2019-01-14 10:04:54,043 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,134 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,294 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,377 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,540 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,662 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:54,662 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,803 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:54,988 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:54

异常时间：2019-01-14 10:04:55,068 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,241 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,336 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,498 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,583 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,760 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,855 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:55,857 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:55,857 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:55

异常时间：2019-01-14 10:04:56,014 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

异常时间：2019-01-14 10:04:56,097 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

异常时间：2019-01-14 10:04:56,288 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

