
异常时间：2018-12-26 10:01:19,965 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,979 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:20,110 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:20

异常时间：2018-12-26 10:01:20,406 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:20

异常时间：2018-12-26 10:01:21,199 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,374 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:21,374 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,484 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:21,484 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,707 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:21,707 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,781 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:21,781 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,923 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:21,923 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:22,093 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:22,093 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:22

异常时间：2018-12-26 10:01:22,436 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:22,436 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:22

异常时间：2018-12-26 10:01:22,467 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:22,467 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:22

异常时间：2018-12-26 10:01:22,566 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:22

异常时间：2018-12-26 10:01:22,670 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:22,670 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:22

异常时间：2018-12-26 10:01:23,026 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:23,026 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:23

异常时间：2018-12-26 10:01:23,058 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:23

