
异常时间：2018-12-19 11:16:58,289 异常级别：ERROR异常内容：執行錯誤
异常时间：2018-12-19 13:26:06,953 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=1，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:06

异常时间：2018-12-19 13:26:06,998 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:06,998 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=2时间：2018/12/19 13:26:06

异常时间：2018-12-19 13:26:07,201 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=2，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,330 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,330 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=1时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,331 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,331 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=2时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,332 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,332 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=9时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,507 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,507 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=3时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,543 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=3，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,563 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,563 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=9时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,582 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,582 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=4时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,753 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=4，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,817 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=6，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,866 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,866 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=4时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,929 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:07,930 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=7时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:07,963 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=7，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:07

异常时间：2018-12-19 13:26:08,166 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=8，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,228 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,228 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=6时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,278 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,278 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=8时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,313 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,313 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=5时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,441 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,442 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=8时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,499 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,499 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197166&p=6时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,520 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197166&p=5，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:26:08,740 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:26:08,740 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197166&p=5时间：2018/12/19 13:26:08

异常时间：2018-12-19 13:29:57,779 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:57,779 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:57,779 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:57,815 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=5时间：2018/12/19 13:29:57

异常时间：2018-12-19 13:29:57,815 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=3时间：2018/12/19 13:29:57

异常时间：2018-12-19 13:29:57,815 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=7时间：2018/12/19 13:29:57

异常时间：2018-12-19 13:29:57,958 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=1，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:57

异常时间：2018-12-19 13:29:58,005 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,005 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=6时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,008 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,008 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=1时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,046 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,046 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=1时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,081 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,081 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=2时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,257 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=2，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,347 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,347 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=6时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,440 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,440 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=2时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,473 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=3，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,510 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,510 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=3时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,553 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=5，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,666 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,666 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=4时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,728 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=4，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,890 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=6，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,892 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,892 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=4时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:58,996 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:58,996 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=5时间：2018/12/19 13:29:58

异常时间：2018-12-19 13:29:59,106 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=7，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,118 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:59,118 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=8时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,205 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=9，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,282 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:59,282 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=7时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,323 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197397&time=8，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,350 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:59,350 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197397&p=9时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,489 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:59,489 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=8时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:29:59,870 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:29:59,870 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545197397&p=9时间：2018/12/19 13:29:59

异常时间：2018-12-19 13:31:41,901 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197474&time=2，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:31:35

异常时间：2018-12-19 13:31:41,901 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197474&time=1，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:31:35

异常时间：2018-12-19 13:31:41,901 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197474&time=8，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:31:35

异常时间：2018-12-19 13:31:41,901 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197474&time=3，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:31:35

异常时间：2018-12-19 16:19:12,443 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545207551&time=7，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 16:19:12

异常时间：2018-12-19 16:19:12,674 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545207551&time=8，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 16:19:12

异常时间：2018-12-19 16:19:12,867 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:12,867 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=1时间：2018/12/19 16:19:12

异常时间：2018-12-19 16:19:12,897 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:12,897 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=5时间：2018/12/19 16:19:12

异常时间：2018-12-19 16:19:12,957 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:12,957 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=3时间：2018/12/19 16:19:12

异常时间：2018-12-19 16:19:13,056 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545207551&time=1，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,057 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,057 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545207551&p=8时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,059 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,059 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545207551&p=7时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,099 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,099 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545207551&p=1时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,100 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,100 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=7时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,363 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545207551&time=9，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,363 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,363 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=9时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,421 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,421 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=8时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,421 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,421 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545207551&p=9时间：2018/12/19 16:19:13

异常时间：2018-12-19 16:19:13,424 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 16:19:13,424 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545207551&p=2时间：2018/12/19 16:19:13

